,type,id,name,geometry
473,station,8100957,Hainfeld,POINT (15.767898 48.039639)
474,station,8100105,Hall in Tirol,POINT (11.501356 47.277076)
475,station,8100531,Pürbach-Schrems,POINT (15.08398 48.763712)
476,station,8101858,Pernitz Wipfelhofstraße,POINT (15.968087 47.895722)
477,station,8101788,Wittmannsdorf NÖ,POINT (16.2201 47.920272)
478,station,8100430,Neufelden,POINT (14.005167 48.483832)
479,station,8100104,Fritzens-Wattens,POINT (11.588812 47.302164)
480,station,8100437,St. Martin im Innkreis,POINT (13.433803 48.288883)
481,station,8100524,Pill-Vomperbach,POINT (11.677356 47.324197)
482,station,8100638,Aurolzmünster,POINT (13.458011 48.24907)
483,station,8100950,Himberg b.Wien,POINT (16.445082 48.082051)
484,station,8100128,Trieben,POINT (14.48991 47.488951)
486,station,8102058,Wöllersdorf/Piesting Marchgraben,POINT (16.164591 47.865132)
487,station,8101352,Pfaffstätten,POINT (16.25914 48.018452)
488,station,8100502,St. Martin-Sittich,POINT (14.152608 46.732203)
491,station,8100770,Eschenau/Salzach,POINT (13.008101 47.306614)
493,station,8100318,Takern-St.Margarethen,POINT (15.757767 47.045657)
496,station,8101806,Weißenbach-St Gallen,POINT (14.635499 47.714212)
497,station,8100057,Kirchberg in Tirol,POINT (12.3091 47.448922)
500,station,8100478,Mining,POINT (13.171768 48.2713)
501,station,8100263,Gurten OÖ,POINT (13.335075 48.243245)
502,station,8100108,Innsbruck Hbf,POINT (11.400506 47.263331)
504,station,8100024,Schärding,POINT (13.442514 48.463724)
505,station,245180,"Schärdinger Straße, Passau",POINT (13.472026 48.56007)
506,station,8100797,Föderlach,POINT (13.95925 46.602102)
507,station,8100763,Ehrenhausen,POINT (15.585515 46.727709)
510,station,8100460,Klosterneuburg Kierling,POINT (16.326307 48.309837)
511,station,8100396,Linz/Donau Urfahr,POINT (14.279751 48.312111)
513,station,8101221,Mitterdorf-Veitsch,POINT (15.513179 47.536738)
514,station,8101161,Laßnitzthal,POINT (15.656341 47.088167)
515,station,8100133,Öblarn,POINT (13.988114 47.460914)
516,station,8100571,Gutenstein,POINT (15.910853 47.876926)
517,station,8101320,Ortmann,POINT (15.979468 47.89334)
518,station,8100586,Silz im Oberinntal,POINT (10.936726 47.270181)
519,station,8101449,Rosenau/Ybbs,POINT (14.74141 48.010398)
520,station,8101592,Villach St.Ruprecht,POINT (13.875938 46.641547)
522,station,8100183,Rohrbach-Vorau,POINT (15.98576 47.390933)
523,station,8100368,Fürnitz,POINT (13.813346 46.563242)
525,station,8100101,Brixlegg,POINT (11.880018 47.434773)
528,station,8100795,Flaurling,POINT (11.143073 47.289013)
529,station,8101747,Walding b.Linz,POINT (14.153732 48.348455)
532,station,8100953,Hirschbach b.Gmünd,POINT (15.126985 48.74932)
533,station,8101230,Mödling,POINT (16.295744 48.08579)
534,station,8100042,Bischofshofen,POINT (13.219887 47.417856)
536,station,8101071,Kothmühle,POINT (13.940723 47.886778)
539,station,8100259,Schwechat,POINT (16.481425 48.143699)
541,station,8100513,Ottensheim,POINT (14.177121 48.337812)
542,station,8101324,Oberthalheim-Timelkam,POINT (13.624815 48.002415)
545,station,8100124,Lochau-Hörbranz,POINT (9.742194 47.529627)
546,station,8100192,Bad Erlach,POINT (16.211668 47.731786)
547,station,8100131,Liezen,POINT (14.241889 47.562708)
548,station,8101079,Kastenreith,POINT (14.638241 47.850174)
549,station,245034,"Kastenreuth, Passau",POINT (13.481419 48.59431)
550,station,8100246,Gaisbach-Wartberg,POINT (14.505596 48.330261)
551,station,8101477,Siebenbrunn-Leopoldsdorf,POINT (16.704475 48.245609)
554,station,8101274,Nikolsdorf,POINT (12.895035 46.779217)
555,station,8100197,Feldkirch,POINT (9.604102 47.240975)
558,station,8100031,Kapfenberg,POINT (15.292089 47.44512)
559,station,8100335,Vitis,POINT (15.173621 48.753158)
561,station,8100331,Untereggendorf,POINT (16.321543 47.861464)
562,station,8100412,Micheldorf,POINT (14.12635 47.8832)
563,station,8101653,Trautmannsdorf an der Leitha,POINT (16.64253 48.024205)
564,station,8100525,Pottendorf-Landegg,POINT (16.396154 47.905332)
566,station,8100235,Fischamend,POINT (16.615059 48.116587)
567,station,8100048,Zell am See,POINT (12.796567 47.32052)
569,station,8100333,Uttendorf-Helpfau,POINT (13.13351 48.160634)
570,station,8100507,Vöcklabruck,POINT (13.663703 48.010065)
571,station,8101283,Nöstlbach-St.Marien,POINT (14.246554 48.164032)
572,station,8101370,Pernegg/Mur,POINT (15.34304 47.35939)
573,station,8101170,Wien Leopoldau,POINT (16.44777 48.277098)
575,station,8100070,Leoben Hbf,POINT (15.089607 47.3866)
579,station,8102009,Lengau,POINT (13.219716 48.008546)
580,station,8101282,Neuhaus-Niederwaldkirchen,POINT (14.051497 48.441997)
581,station,8101010,Jennersdorf,POINT (16.139583 46.935108)
585,station,8100095,Bad Gastein,POINT (13.131946 47.111773)
586,station,8101342,Purkersdorf b.Wien Sanatorium,POINT (16.201348 48.206371)
587,station,8170237,Enns Bahnhof (Lauriacumstraße),POINT (14.465945 48.220439)
588,station,8100511,Weyer/Enns Bahnhof,POINT (14.667231 47.861734)
589,station,8100489,Munderfing,POINT (13.180218 48.073079)
590,station,8101771,Wilfleinsdorf,POINT (16.718866 48.022039)
591,station,8100039,Feldkirchen in Kärnten,POINT (14.098879 46.72147)
